"latitude","longitude","stn","name"
"51.55","-0.417","36720","NORTHOLT"
"51.883","-0.367","36731","LUTON ARPT"
"51.867","-0.367","36733","LUTON"
"51.883","0.233","36830","STANSTED AIRPORT"
"51.883","0.45","36840","ANDREWSFIELD"
"51.967","0.5","36880","WETHERSFIELD(RAF)"
"51.567","0.7","36911","SOUTHEND AIRPORT"
"51.567","0.683","36913","SOUTHEND"
"51.55","0.833","36930","SHOEBURYNESS"
"51.85","1.283","36960","WALTON-ON-NAZE"
"51.167","-4.65","37020","LUNDY ISL (LGT-H)"
"51.017","-4.533","37030","HARTLAND POINT"
"50.983","-4.467","37040","HARTLAND"
"51.083","-4.15","37070","CHIVENOR"
"51","-3.483","37110","EXTON"
"51.2","-3.533","37120","TIVINGTON"
"51.4","-3.35","37150","CARDIFF-WALES ARPT"
"51.4","-3.433","37160","ST. ATHAN"
"51.483","-3.183","37170","CARDIFF WEATHER CEN"
